date,City,State,Dead,Injured,Total,Description
"September 4, 2021",Birmingham ,Alabama,2,2,4,Two people were killed and two injured after an argument inside a strip mall store escalated. Three people were arrested and one went on the run.
"September 4, 2021",Monroe ,Louisiana,1,3,4,"Responding officers found four people injured, with one later dying at the hospital."
"September 4, 2021","Washington, D.C. ","Washington, D.C.",3,3,6,"Six people were found injured in Northwest DC, with three later dying at a hospital."
"September 4, 2021",Warner Robins,Georgia,1,4,5,A teenager was killed and four others injured while attending a block party.
"September 4, 2021",Pittsburgh ,Pennsylvania,0,4,4,A teenager shot four people on the street in Homewood South.
"September 4, 2021",Chicago ,Illinois,0,5,5,Five people were injured in a drive-by shooting in Lawndale shortly after midnight.
"September 3, 2021",Syracuse,New York,0,4,4,Four adults were wounded in an early morning shooting during an outdoor party.
"September 3, 2021",Austin ,Texas,1,3,4,A woman was killed and three others injured in an apartment complex close to US Highway 290 in East Austin.
"September 3, 2021",New Iberia,Louisiana,1,3,4,"One person was killed and three injured outside a shoe store in a strip mall, after two men exited a car and opened fire."
"September 2, 2021",Niagara Falls,New York,0,4,4,Four people were wounded after shooters opened fire on them across the street while they were standing outside a deli.
"August 31, 2021",Elm City,North Carolina,2,2,4,A man killed one person and wounded two others before kidnapping a woman and infant. He later killed the woman and left the baby alive in the stolen vehicle and is still on the run.
"August 30, 2021",Normal,Illinois,3,3,6,"A man killed two people and wounded three others in a mobile home park, before being killed by responding police."
"August 29, 2021",Nashville ,Tennessee,0,5,5,Five people were wounded in an early morning drive by shooting on Jefferson Street.
"August 29, 2021",Las Vegas ,Nevada,1,3,4,Three adults were wounded and one was killed near Rainbow Boulevard.
"August 29, 2021",Milwaukee ,Wisconsin,0,4,4,An adult and three teenagers were wounded.
"August 28, 2021",Albany ,New York,0,5,5,"Responding officers found two wounded men, a wounded teenager and two other adults were later found at hospitals."
"August 28, 2021",San Diego ,California,0,4,4,"Two groups got into an argument near Belmont Park and a man opened fire, wounding four people."
"August 28, 2021",Chicago ,Illinois,0,4,4,Four adults were wounded in Douglas Park while attending a large gathering.
"August 27, 2021",Sharon Hill,Pennsylvania,1,4,5,"After a football game at a high school, a civilian was injured in a drive-by shooting. Police fired back, which district attorney Jack Stollsteimer says likely hit four people, including an eight-year-old girl who was killed."
"August 27, 2021",Huntington,West Virginia,2,2,4,"Two adults and two children were shot, with an adult and child later dying from their injuries."
"August 27, 2021",Los Angeles ,California,0,4,4,Four men were found injured in the West Hollywood neighborhood.
"August 26, 2021",Minneapolis ,Minnesota,0,7,7,Seven people were wounded just after midnight when two people opened fire at one another.
"August 23, 2021",Chicago ,Illinois,0,4,4,A teenager and three adults were wounded in a drive by shooting in Uptown.
